"Stake","Game","Hands","Hands Won","Sessions","Sessions Won","Won","Won (Inc Payout)","My C Won","My C Won (Inc Payouts)","My C All-In Adj","BB/100","All-In Adj BB/100","Rake Attrib","Hours","My C / 100"
"€10 NL (6 max)","Holdem","404","91 (22.52%)","21","8 (38.10%)","-€636.58","-€636.58","-€636.58","-€636.58","-€464.25","-15.76","-11.49","€78.00","4.58","-€157.57"
"$6 NL (6 max)","Holdem","8","2 (25.00%)","1","1 (100.00%)","$35.73","$35.73","€30.33","€30.33","€30.33","74.44","74.44","$1.76","0.10","€379.14"
"€6 NL (6 max)","Holdem","1,068","225 (21.07%)","39","16 (41.03%)","€2,590.40","€2,590.40","€2,590.40","€2,590.40","€2,093.39","40.42","32.67","€213.55","13.38","€242.55"
"€4 NL (6 max)","Holdem","5,604","1,108 (19.77%)","178","74 (41.57%)","€731.60","€731.60","€731.60","€731.60","€284.26","3.26","1.27","€876.71","43.52","€13.05"
"$4 NL (6 max)","Holdem","201","46 (22.89%)","6","3 (50.00%)","$143.44","$143.44","€121.77","€121.77","€121.77","17.84","17.84","$22.86","2.32","€60.58"
"$2 NL (6 max)","Holdem","1,103","201 (18.22%)","23","9 (39.13%)","-$550.92","-$550.92","-€467.68","-€467.68","-€74.64","-24.97","-3.99","$64.69","11.25","-€42.40"
"€2 NL (6 max)","Holdem","7,650","1,420 (18.56%)","158","80 (50.63%)","€1,476.75","€1,476.75","€1,476.75","€1,476.75","€643.47","9.65","4.21","€787.03","39.47","€19.30"
"€2 NL (5 max)","Holdem","5,107","1,071 (20.97%)","123","53 (43.09%)","-€189.92","-€189.92","-€189.92","-€189.92","€256.42","-1.86","2.51","€670.56","38.32","-€3.72"
"$1 NL (6 max)","Holdem","2,951","541 (18.33%)","49","21 (42.86%)","-$93.92","-$93.92","-€79.73","-€79.73","-€68.57","-3.18","-2.74","$132.05","22.40","-€2.70"
"€1 NL (5 max)","Holdem","7,737","1,667 (21.55%)","174","91 (52.30%)","€767.87","€767.87","€767.87","€767.87","€499.46","9.92","6.46","€653.04","45.75","€9.92"
"$0.50 NL (6 max)","Holdem","1,198","241 (20.12%)","19","11 (57.89%)","-$11.76","-$11.76","-€9.98","-€9.98","€1.80","-1.96","0.35","$24.79","6.83","-€0.83"
"€0.50 NL (5 max)","Holdem","13,985","2,990 (21.38%)","231","117 (50.65%)","€1,172.79","€1,172.79","€1,172.79","€1,172.79","€490.88","16.77","7.02","€673.03","47.60","€8.39"
"12 Stakes","1 Game","47,016","9,603 (20.42%)","1,022","484 (47.36%)","€5,507.62","€5,507.62","€5,507.62","€5,507.62","€3,814.32","8.42","4.73","€4,160.89","54.10","€11.71"
