eur_per_hour,risk_of_ruin,p_drawdown_50,within_tolerance,is_best,tables_50NL,tables_100NL,tables_200NL,tables_400NL,tables_600NL,tables_1KNL,mix
31.5,3.7855703747168004e-41,6.1526988994398226e-21,1,0,12,0,0,0,0,0,12x 50NL
33.0,3.5612428366273125e-35,5.967614964646523e-18,1,0,11,1,0,0,0,0,11x 50NL + 1x 100NL
34.5,4.436701164890938e-31,6.660856675301563e-16,1,0,10,2,0,0,0,0,10x 50NL + 2x 100NL
36.0,4.264289720960135e-28,2.065015670875196e-14,1,0,9,3,0,0,0,0,9x 50NL + 3x 100NL
37.5,7.928199170881865e-26,2.8157058033256715e-13,1,0,8,4,0,0,0,0,8x 50NL + 4x 100NL
39.0,4.827031526217316e-24,2.1970506426155307e-12,1,0,7,5,0,0,0,0,7x 50NL + 5x 100NL
40.5,1.3296455948918563e-22,1.1531025951284024e-11,1,0,6,6,0,0,0,0,6x 50NL + 6x 100NL
42.0,2.043119767502539e-21,4.520088237526496e-11,1,0,5,7,0,0,0,0,5x 50NL + 7x 100NL
43.5,2.017786126356004e-20,1.4204879888108889e-10,1,0,4,8,0,0,0,0,4x 50NL + 8x 100NL
45.0,1.4144368190446997e-19,3.7608999176323474e-10,1,0,3,9,0,0,0,0,3x 50NL + 9x 100NL
46.5,7.559924425930859e-19,8.694782588386474e-10,1,0,2,10,0,0,0,0,2x 50NL + 10x 100NL
48.0,3.2484594460038833e-18,1.802348314284418e-09,1,0,1,11,0,0,0,0,1x 50NL + 11x 100NL
49.5,1.1679951545646118e-17,3.4175944091782043e-09,1,0,0,12,0,0,0,0,12x 100NL
50.625,9.668648935316044e-15,9.832928828846492e-08,1,0,0,11,1,0,0,0,11x 100NL + 1x 200NL
51.75,9.301540994123302e-13,9.644449696132641e-07,1,0,0,10,2,0,0,0,10x 100NL + 2x 200NL
52.875,2.5360189054383554e-11,5.0358900955425505e-06,1,0,0,9,3,0,0,0,9x 100NL + 3x 200NL
54.0,3.1005889928800643e-10,1.7608489409600314e-05,1,0,0,8,4,0,0,0,8x 100NL + 4x 200NL
55.125,2.2053412688517883e-09,4.696106119810101e-05,1,0,0,7,5,0,0,0,7x 100NL + 5x 200NL
56.25,1.0694213476279396e-08,0.00010341283032718618,1,0,0,6,6,0,0,0,6x 100NL + 6x 200NL
57.375,3.916083937486258e-08,0.00019789097850802238,1,0,0,5,7,0,0,0,5x 100NL + 7x 200NL
58.5,1.1600366783413426e-07,0.00034059311184187835,1,0,0,4,8,0,0,0,4x 100NL + 8x 200NL
59.625,2.9165379705085104e-07,0.0005400498097868854,1,0,0,3,9,0,0,0,3x 100NL + 9x 200NL
60.75,6.442304642892308e-07,0.000802639685219483,1,0,0,2,10,0,0,0,2x 100NL + 10x 200NL
61.875,1.282500558059353e-06,0.0011324754116798091,1,0,0,1,11,0,0,0,1x 100NL + 11x 200NL
63.0,2.3456149234375133e-06,0.0015315400495702074,1,0,0,0,12,0,0,0,12x 200NL
63.75,2.446480283201961e-05,0.004946190739550954,1,0,0,0,11,1,0,0,11x 200NL + 1x 400NL
64.5,0.00012048225724570751,0.010976441009986229,1,0,0,0,10,2,0,0,10x 200NL + 2x 400NL
65.25,0.00038218727288771013,0.01954961055590904,1,0,0,0,9,3,0,0,9x 200NL + 3x 400NL
66.0,0.0009163774221757689,0.030271726448548798,1,0,0,0,8,4,0,0,8x 200NL + 4x 400NL
66.75,0.0018186331052385835,0.042645434752603746,1,0,0,0,7,5,0,0,7x 200NL + 5x 400NL
67.5,0.003157388453831187,0.05619064382823165,1,0,0,0,6,6,0,0,6x 200NL + 6x 400NL
68.25,0.004969521957171955,0.07049483638658902,1,0,0,0,5,7,0,0,5x 200NL + 7x 400NL
69.0,0.007263358732268194,0.08522534090438239,1,1,0,0,4,8,0,0,4x 200NL + 8x 400NL
69.75,0.010024888737813573,0.10012436635411769,0,0,0,0,3,9,0,0,3x 200NL + 9x 400NL
70.5,0.01322449968411155,0.11499782469295473,0,0,0,0,2,10,0,0,2x 200NL + 10x 400NL
71.25,0.016822901078740835,0.12970312671150544,0,0,0,0,1,11,0,0,1x 200NL + 11x 400NL
72.0,0.02077578938380515,0.1441380913700648,0,0,0,0,0,12,0,0,12x 400NL
