PERIOD,STAKE,BB_EUR,SITES,HANDS,NET_BB100,ALLIN_ADJ_BB100,STDEV_BB100,RAKE_BB100,CI95_HALFWIDTH_BB100
LIFETIME,50NL,0.5,iPoker+WPN,285582,7.5279,9.744,92.3584,10.0959,3.3874
LIFETIME,100NL,1.0,iPoker+WPN,95202,6.6642,5.7677,91.6602,8.0828,5.8226
LIFETIME,200NL,2.0,iPoker+WPN,55054,2.6895,3.0507,91.7183,6.1702,7.6616
LIFETIME,400NL,4.0,iPoker+WPN,15530,3.8747,1.0101,81.2404,4.2794,12.7774
LIFETIME,600NL,6.0,iPoker+WPN,1676,47.691,37.8367,84.1788,3.5092,40.3015
LIFETIME,1KNL,10.0,iPoker+WPN,479,2.1534,-8.8188,56.0527,2.1712,50.1978
July,50NL,0.5,iPoker+WPN,24489,-0.6134,4.6953,92.4979,9.8864,11.5852
July,100NL,1.0,iPoker+WPN,12732,6.4139,7.5899,101.5152,8.5823,17.6335
July,200NL,2.0,iPoker+WPN,15255,0.2216,1.5125,94.7792,6.011,15.0405
July,400NL,4.0,iPoker+WPN,4632,9.5743,4.895,89.6619,4.7117,25.8214
July,600NL,6.0,iPoker+WPN,606,60.5288,46.9189,82.4918,3.8593,65.6796
July,1KNL,10.0,iPoker+WPN,10,700.5,1.908,154.7002,16.75,958.8418
August,50NL,0.5,iPoker+WPN,17351,12.042,5.4619,89.3247,9.2762,13.2912
August,100NL,1.0,iPoker+WPN,12367,9.868,6.2432,86.702,7.662,15.281
August,200NL,2.0,iPoker+WPN,16739,0.4488,2.448,93.3918,5.6461,14.1482
August,400NL,4.0,iPoker+WPN,6079,1.8197,0.8185,81.1314,3.8475,20.3953
August,600NL,6.0,iPoker+WPN,1070,40.4203,32.693,85.149,3.3109,51.0204
August,1KNL,10.0,iPoker+WPN,469,-12.7367,-9.0475,51.404,1.8603,46.5229
